gene_name	DAY0_001	DAY0_002	DAY0_003	DAY0_004	DAY0_005	DAY2_001	DAY2_002	DAY2_003	DAY2_004	DAY2_005	DAY4_001	DAY4_002	DAY4_003	DAY4_004	DAY4_005	DAY6_001	DAY6_002	DAY6_003	DAY6_004	DAY6_005	DAY8_001	DAY8_002	DAY8_003	DAY8_004	DAY8_005
Ptprm	16.46	0.78	116.48	3.03	3.18	0.06	0.62	2.53	0.03	0.03	15.67	14.11	0	0.13	0	0	0	2.35	2.17	0.02	0	0.02	0.24	0	0.24
Stat6	21.18	0.07	5.79	0.23	0.28	1.37	28.91	5.44	1.32	4.36	64.29	4.39	26.05	59.83	117.54	0.78	51.02	27.09	0.08	55.71	1.54	0	5.08	0	39.23
Mex3c	23.41	0	13.93	1.53	9.87	10.83	17.97	36.01	6.88	15.58	2.01	17.61	23.78	24.36	0.82	20.99	5.62	46.89	5.25	35.14	12.6	0.02	32.87	8.1	0
Ext2	0.16	48.6	62.7	0.47	4.43	41.2	98.96	70.84	46.26	68.59	94.02	16.28	67.63	141.82	43.62	62.23	6.09	25.94	12.86	73.44	73.21	138.25	16.14	1.78	22.62
Rassf5	0.89	0.42	0	0	1.15	0.11	0	0.39	10.32	0	4.84	9.07	0.07	0	0	15.58	47.2	0	5.95	11.27	65.72	30.91	37.16	71.84	130.64
Amn1	13.59	0	0	0	0	0.85	0	4.56	0	15.54	0	6.84	0.24	37.68	1.31	0	0	0	0	0	0	0	0	0	0
Agpat6	20.22	29.16	13.81	0.21	0.26	2.95	19.95	67.59	13.8	45.99	8.25	71.23	85.18	45.04	53.69	7.67	40.59	115.62	80.35	0.42	1.28	0	0.14	0	0
Ptprb	178.73	11.93	7.97	33.66	173.55	4.77	10.19	24.74	9.57	5.99	26.64	28.17	1.46	21.78	0.12	0.07	13.06	0	0	0.03	0.12	18.42	1.12	9.61	0.01
Gm15710	9.57	15.36	11.23	12.94	6.42	39.99	29.12	40.05	33.66	37.05	77.82	73.73	36.44	20.68	33.59	41.3	42.53	28.83	37.92	30.11	34.22	23.76	29.74	21.03	15.37
Arpc5	12.52	415.81	364.11	21.22	590.44	95.16	178.1	284.45	227.81	277.58	149.18	46.2	97.23	135.62	358.75	138.54	255.41	120.3	293.27	517.82	462.43	335.89	328.4	265.3	748.87
Rpl29	631.39	314.01	359.6	365.33	490.55	1667.99	1374.94	1901.66	1313.02	1424.97	465.31	817.22	490.1	384.24	562.94	919.94	728.33	873.7	901.44	702.69	964.9	965.17	1066.2	956.46	1140.14
Grb10	16.31	66.06	50.54	44.79	17.59	115.07	142.94	88.48	68.07	91.05	18.86	70.45	65.59	178.17	51.65	0	54.11	35.04	66.71	12.13	78.62	37.16	28.94	85.77	11.28
Fam96a	1.04	198.84	223.49	62.73	94.73	121.77	222.85	102.42	218.73	225.88	40.72	154.74	7.37	9.46	95.79	118.71	74.74	48.58	128.78	18.74	40.28	93.35	37.33	170.22	211.95
Fdps	0	203.09	6.57	0	131.58	2.69	234.78	78.17	229.86	197.63	0	141.71	0	1.35	122.94	0	0.37	0	153.37	52.73	0	3.77	0	0.52	137.32
Enpp3	1.64	11.26	1.17	0	0	0	0	0	0	0	0	1.39	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf1a	21.74	40.44	57.23	123.27	165.99	93.25	75.16	92.54	157.39	132.17	92.7	98.17	193.66	14.57	72.83	99.16	37.21	123.21	0	122.38	0	19.71	104.17	39.24	76.59
Gcnt1	0	0	0	0	49.65	0	33.65	0.06	2.08	0	2.6	25.06	5.49	0	0	1.81	0.17	0	0	0	14.05	0	0	62.55	0.11
Nucks1	77.33	22.06	9	55.52	17.74	17.2	27.56	69.41	51.52	45.1	23.15	36.67	28.39	33.41	36.75	94.07	29.39	0	33.26	39.07	34.79	30.08	22.29	18.29	0
Tubb2b	20.06	23.24	0.71	47.01	0	0	0	0.25	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kit	0.07	8.72	9.2	11.47	0	105.77	33.48	55.76	119.75	68.23	109.05	40.81	146.01	169.88	146.58	33.35	3.14	69.51	36.32	44.85	23.26	178.83	40.38	201.48	72.26
Nrp2	1.79	16.68	48.44	12.16	0.08	0	0	0	0.06	0.37	0.04	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0
Ccdc132	144.98	0	65.97	38.66	64.28	2.1	1.96	3.35	30.99	10.02	28.56	0.61	30.9	1.06	143.57	6.07	0	0.34	32.87	22.24	0.9	0	51.2	1.76	76.34
Ubl7	89.05	0	0	45.35	137.33	93.63	98.91	164.06	98.1	63.26	151.84	80.33	168.16	56.73	10.77	31.14	39.03	132.54	0	102.2	122.11	10.95	76.53	2.32	0.43
Thyn1	125.8	14.5	83.63	0.28	0	74.58	44.53	36.41	128.72	25.07	0	1.91	70.79	6.5	70.84	91.64	33.65	95.75	82.07	65.16	126.67	99.67	115.11	24.86	0
Mpc1	0	0	3.63	2.76	0	2.22	10.18	33.84	21.08	10.8	6.88	0	0.78	2.05	0	35.66	10.82	31.61	21.64	0	57	0	37.18	0.71	0
Cdkn2d	0	0	0	0.4	0	7.26	22.12	126.17	13.46	13.84	0	6.77	0	0	12.22	0	145.13	1.14	47.45	84.61	3.21	1	72.5	18.14	121.8
F2r	8.82	181.08	138.26	54.79	31.41	5.04	113.04	171.6	8.13	55.27	0	57.12	4.92	51.81	82.03	0.13	3.99	0.13	42.1	0	0	44.02	0	0	0
Kpnb1	21.91	96.02	18.75	171.23	62.49	118.34	141.42	81.94	117.68	184.96	157.48	89.55	107.46	180.52	56.16	58.44	94.31	53.56	132.9	444.2	262.31	163.13	77.67	116.47	211.89
Polr1c	17.15	19.52	145.89	4.62	8.38	287.41	84.86	136.69	348.85	47.48	1.18	38.29	247.44	276.41	115.62	157.12	90.77	183.53	235.35	354.5	53.62	183.33	51.25	46.55	16.94
B3gnt5	30.31	59.25	41.05	16.23	0.24	29.67	96.04	17.55	3.28	0.16	13.73	0.93	13.77	15.34	0	0	0	0	0	0	83.52	0	0	5.2	0
Hsbp1	124.42	10.74	0.65	76.74	20.32	52.11	18.23	84.66	173.13	147.25	81.68	3.01	3.01	57.7	0	155.37	25.91	61.25	78.02	0.41	43.51	113.04	33.85	70.04	24.92
P2ry1	51.03	96.15	1.96	0.1	0	0	0.08	0.14	0	0	4.69	16.22	0	41.67	0	0	17.96	0	0	0	0	32.45	0	0.81	0
Ranbp9	71.47	76.14	54.96	4.79	151.22	3.86	33.76	40.52	14.89	93.07	78.79	70.97	93.47	64.38	40.18	127	39	5.83	104.68	0	2.87	46.32	21.35	125.58	142.82
Arpc5l	0	0.62	33.05	0	20.1	4.76	42.71	68.51	20.79	50.45	42.05	2.03	2.75	49.07	0	29.23	123.34	154.21	51.62	0	21.8	78.22	162.46	0	86.34
Rela	1.13	0.03	56.58	35.82	6.08	60.22	35.34	101.03	3.39	18.65	130.23	111.44	53.79	7.24	64.53	2.56	31.44	113.06	0.23	86.89	19.09	122.9	17.11	37.4	59.92
Cript	0	0.01	6.89	27.45	0	81.4	64.41	151.81	71.77	125.94	62.97	0	53.88	1.25	0	115.07	30.93	43	115.59	7.45	0	0	52.21	33.42	5.59
BC055324	0	3.06	0.28	32.91	0.01	0.03	8.38	11.69	25.45	2.01	21.17	0.49	39.89	91.93	0.24	0	91.6	0.01	0.13	24.1	0.23	3.52	0.18	0	9.71
Ttc28	15.56	0.22	6.41	0.45	1.82	0.26	1.9	8.76	0	9.14	1.79	3.73	31.79	0.4	0.21	19.67	0	3.31	0.03	0.15	3.86	3.3	7.62	1.86	0.15
Rnd2	0	0	0.09	0.06	0	0	14.41	0.04	36.14	26.67	0.2	0.11	36.67	53.53	0.33	0	40.45	104.58	0	0	151.05	2.24	0	0	0.07
Slc25a4	378.41	249.3	54.83	130.99	119.22	135.41	152.95	232.81	162.18	141.58	145.01	114.67	82.95	109.34	140.5	124.63	55.31	225.37	106.08	403.03	221.62	108.24	146.94	16.29	84.5
Rilpl2	0	4.07	0.52	2.57	0	20.84	68.05	34.19	30.35	24.83	36.12	113.26	153.61	4.72	1.83	7.86	61.19	4.07	35.74	15.64	86.48	0	1.3	76.62	7.55
St3gal1	0	0.88	0	0.39	0	25.97	20.29	22.77	22.1	33.03	66.91	1.82	35.52	41.36	64.54	23.64	32.56	48.16	5.46	34.22	1.58	0	0	1.81	42.76
Vta1	0.01	0.01	8.51	0.57	0	77.15	59.9	87.81	30.5	92.57	35.4	3.56	12.75	82.82	0.71	22.89	35.58	24.33	0.01	2.14	71.82	0.36	3.89	1.49	0.47
Arid1b	16.62	0.2	0.6	0.56	0.38	5.43	1.42	2.66	7.69	4.71	3.96	24.39	36.61	1.08	5.34	1.06	21.37	5.51	0.17	0.6	1.19	3.49	13.67	1.12	1.34
Runx2	0	0	0	0	0	0	0	0	0.99	0	0.07	8.14	8.05	0.36	0	30.37	23.77	0.19	2.11	40.06	36.96	0	0.66	0.09	36.04
Rps10	272.97	560.49	189.85	462.63	147.64	1159.89	902.19	1280.53	955.82	1224.58	445.71	936.49	429.69	518.72	301.65	1058.47	551.25	520.06	822.81	612.15	762.81	693.47	631.1	895.57	930.45
Ripply3	0	32.28	3.71	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abi2	0	6.23	6.85	23.01	0	7.99	0.89	4.04	7.1	0	12.32	19.54	29.32	0	13.37	46.07	20.05	28.9	52.85	49.63	0	6.9	68.96	0	4.41
Akna	0	0	0	3.71	0	0.59	8.21	2.38	4.31	0	0	0	0	0	4.63	8.98	0	0.08	4.3	2.92	2.12	0	0	1.49	0
Rps4x	1411.26	1555.38	784.31	956.32	1355.55	3951.62	3467.24	3676.3	3811.02	3879.94	1528.39	1997.91	1492.98	1036.37	1931.98	3296.22	3556	2471.93	2462.68	2487.76	2847.63	3872.29	4083.83	2034.04	3625.95
Epha2	5.65	24.07	0	26.4	0	6.27	3	0	0.76	7.86	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.15	0.13
Coq10b	25.16	0.39	0.4	4.69	0	0.2	36.02	3.9	0.25	44.08	0.88	2.27	23.5	3.2	0	50.14	0	0	0	0	2.08	61.36	0	41.76	0
Gvin1	0	0.01	0	0	0	0	0.01	0	0	1.01	0	2.14	2.3	0	0.17	6.73	14.47	18.5	0.03	1.06	0.08	78.54	12.51	0.13	7.87
Chad	0	0	0	0.14	0	1.25	132.66	32.02	28.18	6.79	0	248.26	0	0	0	0	0	0	0	0	0	0	0	0	174.16
Nop56	108.11	146.28	334.31	795.97	297.27	358.62	421.8	276.97	345.69	296.28	654	273.61	87.83	239.68	244.53	298.4	326.09	268.37	609.82	280.17	326.64	424.83	250.77	374.27	634.19
Gpr56	0	0	0	0	0	152.38	257.78	79	274.7	175.24	129.88	345.68	369.83	348.76	258.74	93.7	159.38	193.51	65.98	153.07	139.05	394.64	74.38	202.5	142.67
1110004F10Rik	17.68	258	97.35	316.5	11.06	37.6	141.04	146.59	366.09	118.18	72.95	245.49	65.16	83	35.86	151.41	165.74	169	149.44	177.47	163.47	0	230	129.47	13.31
Acvrl1	174.17	2.54	38.13	0.31	3.58	0	20.52	31.92	0.2	0	0.81	0	12.63	0	12.12	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	132.6	127.9	6.2	2.03	42.46	57.57	32.13	15.74	90	37.24	0	0.52	0	0	1.56	44.16	6.79	0.29	68.9	0	0	0	22.65	0	0
Mdfic	14.75	2.63	7.72	1.54	0	0	0.71	0	3.61	0.02	1.45	0	24.94	0	0.21	0.12	0	0	0	10.5	0	0.05	0	0	0
Larp7	102.75	17.96	40.78	73.23	0	89.1	67.02	33.04	82.17	122.35	35.58	19.41	161.27	22.54	16.97	28.35	49.38	279.33	0.96	20.72	4.05	0.04	33.42	167.59	28.24
Zfp948	25.58	7.96	0	39.5	82.13	44.49	0.01	2.22	18.36	21.11	0	0.61	17.32	10.45	0	0	0.83	0	0	0	0	0	0	0.22	0
Incenp	0	0	0.4	114.8	0	0	6.98	65.05	3.66	0.33	43.17	0	0.02	22.5	0	0.27	10.26	0.26	0.39	0	13.64	0.12	1.72	0.18	26.97
Plxnd1	70.09	30.34	19.46	36.82	42.3	16.19	31.17	41.16	22.23	10.61	9.01	49.68	20.16	6.25	8.04	5.93	4.01	16.27	14.19	6.77	16.36	1.49	0	0	8.93
Gadd45g	0	13.09	0	0	31.78	0.48	81.44	117.43	79.14	92.88	0	0	4.06	180.98	0	0	0	0	0	0	0	7.38	0	0	0
